,date,name,DisplayUnit,mrp
136,2020-05-16 12:05:28,Ayam Brand Coconut Milk - Trim,200ml,0.9
137,2020-05-16 12:05:28,New Moon Premium Fragrant Rice (Thai Hom Mali),5kg,16.5
138,2020-05-16 12:05:28,Taikoo Unrefined Cane Sugar - Golden Granulated ,350g,2.25
139,2020-05-16 12:05:28,Golden Peony Jasmine Fragrant Rice,5kg,9.4
140,2020-05-16 12:05:28,Double FP Thai Hom Mali Premium Quality Fragrant Rice,2.5kg,6.55
141,2020-05-16 12:05:28,Heinz Vinegar - Distilled White,473ml,2.6
142,2020-05-16 12:05:28,FairPrice AAA Golden Royal Dragon Thai White Fragrant Rice,10kg,21.0
143,2020-05-16 12:05:28,Naturel Organic Rice - Brown,750g,5.3
144,2020-05-16 12:05:28,Double FP Thai Hom Mali Premium Quality Fragrant Rice - New Crop,5kg,11.9
145,2020-05-16 12:05:28,Royal Umbrella Thai Hom Mali Fragrant Rice - New Crop,5kg,17.8
146,2020-05-16 12:05:28,Kangaroo Brand Australia Rice - Low GI,2kg,10.9
147,2020-05-16 12:05:28,Rice Field 100% Pure Rice Bran Oil,2L,9.25
148,2020-05-16 12:05:28,Golden Rice Box Premium Jasmine Rice,5kg,11.8
149,2020-05-16 12:05:28,New Moon Premium Fragrant Organic Rice (Thai Hom Mali),2kg,9.5
150,2020-05-16 12:05:28,Adabi Ketupat Nasi Rice Cube,6 x 130g,3.75
151,2020-05-16 12:05:28,Kirei Daichi Calrose Sushi Grade Pearl Rice,4.5kg,19.8
152,2020-05-16 12:05:28,Chef Shiitake Mushroom,250g,2.4
153,2020-05-16 12:05:28,Pasar Red Chili Padi ,100g,0.95
154,2020-05-16 12:05:28,Malika Gold Basmati Rice,5KG,17.0
155,2020-05-16 12:05:28,Chang Thai Organic Red Brown Rice ,2kg,10.2
156,2020-05-16 12:05:28,FairPrice Koto Kome Australian Calrose Rice,5kg,14.2
157,2020-05-16 12:05:28,Naturel Organic Rice - Mixed Brown Gaba & Riceberry,1.8kg,10.8
158,2020-05-16 12:05:28,S&W Premium Vinegar - Distilled White,473ml,2.45
159,2020-05-16 12:05:28,24 Mantra Organic Idly Rice,5KG,20.86
160,2020-05-16 12:05:28,Merito Certified Organic Virgin Coconut Oil,300ml,12.5
161,2020-05-16 12:05:28,Pasar Malaysia Yellow Ginger,200g,1.1
162,2020-05-16 12:05:28,Flying Man Rice (Brown Rice),1kg,5.2
163,2020-05-16 12:05:28,Golden Chef 100% Pure Sesame Oil,360ml,4.85
164,2020-05-16 12:05:28,Pasar Blue Ginger ,200g,1.05
165,2020-05-16 12:05:28,Nurjahan - Basmati Rice,5kg,18.5
166,2020-05-16 12:05:28,CJ Fresh Cooked Instant Rice - White,210g,2.2
167,2020-05-16 12:05:28,Golden Phoenix Germinated Cargo Rice - Black,1kg,5.9
168,2020-05-16 12:05:28,Kamchan Organic Germinated Rice - Brown,1kg,7.5
169,2020-05-16 12:05:28,SongHe AAA Thai Hom Mali Rice,2.5kg,9.2
170,2020-05-16 12:05:28,Gold Red Capsicum,300g,1.95
171,2020-05-16 12:05:28,Pasar Small Lime ,250g,1.1
172,2020-05-16 12:05:28,Songhe Noble Rice Berry,1kg,6.5
173,2020-05-16 12:05:28,FairPrice Rice Bran Oil,3L,11.95
174,2020-05-16 12:05:28,Kamchan Organic Germinated Rice - Red,1kg,7.5
175,2020-05-16 12:05:28,India Gate Basmati Rice - Premium,1kg,5.8
176,2020-05-16 12:05:28,Flying Man Rice (New Crop),5kg,16.9
177,2020-05-16 12:05:28,Golden Phoenix Health Plus Germinated Rice - Brown Jasmine,1kg,5.9
178,2020-05-16 12:05:28,Flying Man Rice (Fragrant),2 x 1kg,7.0
179,2020-05-16 12:05:28,Day'O' Blue White Rice,5kg,7.5
180,2020-05-16 12:05:28,Golden Elephant Thai Fish Sauce,300ml,1.22
181,2020-05-16 12:05:28,Diamond G Brown Rice,0.91kg,3.75
182,2020-05-16 12:05:28,24 Mantra Organic - Sonamasuri Brown Rice,1kg,5.15
183,2020-05-16 12:05:28,Chilli Brand Rice Vermicelli,400g,1.4
184,2020-05-16 12:05:28,Organic Tattva Organic Sonamasuri Rice Hand Pounded - By Sonnamera,1kg,4.5
185,2020-05-16 12:05:28,Kikkoman Soy Sauce - Light,600ml,3.2
186,2020-05-16 12:05:28,Pasar Large Lime ,250g,1.4
187,2020-05-16 12:05:28,GoNutz Lunch Box Snacks with Cheese Dipper - Rice Crackers,114g,4.95
188,2020-05-16 12:05:28,Daawat Quick Cooking Brown Basmati Rice - By Sonnamera,5kg,25.2
189,2020-05-16 12:05:28,Yamagata Haenuki Japanese Rice,5kg,34.95
190,2020-05-16 12:05:28,New Moon Organic SupeRice,1.8kg,11.5
191,2020-05-16 12:05:28,Mekhala Organic Energy Rice,1kg,10.9
192,2020-05-16 12:05:28,Just Organik Organic Black Rice,500G,5.25
193,2020-05-16 12:05:28,Origrains Wholegrain Rice - Thai Hom Mali Brown Rice,750g,4.0
194,2020-05-16 12:05:28,Knife Brand Groundnut Oil,2L,10.95
195,2020-05-16 12:05:28,Fantastic Rice Cracker - Cheese,100g,2.7
196,2020-05-16 12:05:28,Origins Healthfood Organic Sweet Brown Rice,1kg,7.35
197,2020-05-16 12:05:28,Knife Brand Thai Fish Sauce - Reduced Salt,300ml,1.2
198,2020-05-16 12:05:28,Ibis Organic Rice - White,500g,4.35
199,2020-05-16 12:05:28,Kikkoman Soy Sauce - Light,600ml,3.2
200,2020-05-16 12:05:28,Siam Pure Thai Fragrant Rice,10kg,15.6
201,2020-05-16 12:05:28,Pasar Large Lime ,250g,1.4
202,2020-05-16 12:05:28,ME-MI Rice (Fragrant),5kg,13.95
203,2020-05-16 12:05:28,Kampung Rice (Fragrant),10kg,28.0
204,2020-05-16 12:05:28,Day'O' Red Fragrant Rice,5kg,9.3
205,2020-05-16 12:05:28,Origins Healthfood Organic Wild Rice Blend,1kg,10.0
206,2020-05-16 12:05:28,Knife Brand Groundnut Oil,2L,10.95
207,2020-05-16 12:05:28,Knife Brand Thai Fish Sauce - Reduced Salt,300ml,1.2
208,2020-05-16 12:05:28,GABA Brown Rice - Kirei,150G,4.35
209,2020-05-16 12:05:28,24 Mantra Organic Sonamasuri Semibrown (Handpounded) Rice,1KG,5.14
210,2020-05-16 12:05:28,FairPrice Frozen Glutinous Rice Ball - Sesame,200g (10 per pack),1.85
211,2020-05-16 12:05:28,FairPrice Rice Vermicelli (Bee Hoon),10 x 400g (CTN),10.0
212,2020-05-16 12:05:28,Songhe Noble Red Rice,2.5kg,11.9
213,2020-05-16 12:05:28,Defu Premium Grade Chopped Garlic,250g,3.4
214,2020-05-16 12:05:28,Ibis Organic Rice - Brown,500g,4.35
215,2020-05-16 12:05:28,SongHe AAA Thai Hom Mali Rice,2kg,7.95
216,2020-05-16 12:05:28,Mummys - Daily Basmati Rice,5kg,19.0
217,2020-05-16 12:05:28,Fantastic Rice Cracker - Seaweed,100g,2.7
218,2020-05-16 12:05:28,Double Red Flying King AAA Thai Fragrant White Rice,5kg,10.9
219,2020-05-16 12:05:28,Tai Sun Rice Vermicelli,400g,1.2
220,2020-05-16 12:05:28,Defu Premium Grade Chopped Garlic - Cup ,300g,4.05
221,2020-05-16 12:05:28,Origrains Organic Rice - Thai Rice Berry,750g,7.2
222,2020-05-16 12:05:28,Double Pagoda Sesame Oil - Pure,250ml,4.0
223,2020-05-16 12:05:28,Ayam Brand Coconut Milk,1L,3.65
224,2020-05-16 12:05:28,24 Mantra Organic Sonamasuri Semibrown (Handpounded) Rice,5KG,20.22
225,2020-05-16 12:05:28,Flying Man Fragrant Rice,25kg,65.8
226,2020-05-16 12:05:28,Knife Brand Thai Fish Sauce,750ml,2.1
227,2020-05-16 12:05:28,FairPrice Rice Vermicelli - Red Cargo,400g,1.6
228,2020-05-16 12:05:28,Pasar Small Lime ,250g,1.1
229,2020-05-16 12:05:28,Bin Bin Rice Crackers - Seaweed,150g,2.1
230,2020-05-16 12:05:28,Riserva Gallo Italian Rice - Carnaroli,1kg,6.7
231,2020-05-16 12:05:28,Songhe Mixed Fragrant Rice + Noble Rice,2kg,8.5
232,2020-05-16 12:05:28,24 Mantra Organic Sonamasuri Polished Raw Rice,5KG,21.29
233,2020-05-16 12:05:28,Songhe Noble Brown Rice,2.5kg,11.5
234,2020-05-16 12:05:28,Flying Man Rice (Brown Rice),2&#x2e;5kg,11.75
235,2020-05-16 12:05:28,Ecoco Coconut Oil - Extra Virgin,500ml,14.9
236,2020-05-16 12:05:28,Ooty- Gold Ponni Rice,1kg,11.4
237,2020-05-16 12:05:28,Lee Kum Kee Minced Garlic - Freshly,213g,3.7
238,2020-05-16 12:05:28,Hokto Maitake Mushroom,100g,1.5
239,2020-05-16 12:05:28,Chee Seng Sesame Oil - White,320ml,4.5
240,2020-05-16 12:05:28,Ceres Organics Brown Rice Cakes with Quinoa,110g,4.5
241,2020-05-16 12:05:28,FairPrice Frozen Glutinous Rice Ball - Peanut,200g (10 per pack),1.85
242,2020-05-16 12:05:28,Fantastic Thinner Bite Black Rice Crackers - Original,100g,2.7
243,2020-05-16 12:05:28,Origins Healthfood Organic Wild Rice,250g,9.0
244,2020-05-16 12:05:28,FairPrice Rice Bran Oil,5L,18.9
245,2020-05-16 12:05:28,WICHY Organic Coconut Milk - by Foodsterr,400ml,3.9
246,2020-05-16 12:05:28,Kampung Rice (Fragrant),5kg,14.7
